File Name,Original Size (KB),Start Time,End Time,Delta Time (s),GZIP Size (KB),BZIP2 Size (KB),LZMA Size (KB),PPMD Size (KB),SNAPPY Size (KB),BROTLI Size (KB),LZ4 Size (KB),LZ4_RAW Size (KB),ZSTD Size (KB),LZO Size (KB),8-bit Entropy Min Size (KB),16-bit Entropy Min Size (KB),8-bit Conditional Entropy Min Size (KB),Topology
powerLedvanceSmart+Plug2.pcapng,34.265625,2023-10-15 17:32:30.000000,2023-10-15 17:37:43.458099,313.4580988883972,7.8427734375,9.244140625,6.7109375,8.3046875,10.6640625,6.802734375,10.06640625,9.646484375,7.1767578125,9.931640625,24.08828996595049,12.044144982975244,11.999193546067032,Topology_A
powerSmartSocket1.pcapng,59.36328125,2023-10-15 15:31:46.000000,2023-10-15 15:36:57.121833,311.1218330860138,17.4931640625,18.947265625,14.9609375,17.4296875,22.953125,15.2109375,22.4697265625,21.1318359375,15.966796875,21.900390625,41.99115963612778,20.99557981806389,24.21337267737498,Topology_A
powerMoesBulb1.pcapng,46.71875,2023-10-15 16:29:52.000000,2023-10-15 16:34:59.960120,307.96011996269226,12.2255859375,14.0400390625,10.5546875,12.4990234375,16.1591796875,10.6064453125,15.3466796875,14.9296875,11.13671875,15.2822265625,34.25276803752945,17.126384018764725,18.485149993504667,Topology_A
powerSmartPowerPlug1.pcapng,55.0390625,2023-10-15 18:08:22.000000,2023-10-15 18:13:36.462274,314.46227407455444,14.4150390625,16.21484375,12.24609375,14.5673828125,19.24609375,12.4912109375,18.5849609375,17.3544921875,13.123046875,18.248046875,38.41840907589339,19.209204537946697,21.8610096391383,Topology_A
powerMoesBulb3.pcapng,40.16015625,2023-10-15 16:43:17.000000,2023-10-15 16:48:28.667760,311.6677598953247,11.142578125,12.3564453125,9.61328125,11.3125,14.837890625,9.65234375,14.3828125,13.7744140625,10.1298828125,14.1669921875,28.73232204356613,14.366161021783066,14.912987966987757,Topology_A
powerPhilipsLamp2-1.pcapng,36.26953125,2023-10-15 18:44:18.000000,2023-10-15 18:49:28.252391,310.2523910999298,10.0615234375,11.18359375,8.609375,10.2080078125,13.4189453125,8.7119140625,12.9990234375,12.439453125,9.162109375,12.7177734375,25.64908179839246,12.82454089919623,13.376435473172997,Topology_A
powerPhilipsLamp2-2.pcapng,39.08203125,2023-10-15 18:57:42.000000,2023-10-15 19:03:00.551190,318.5511898994446,10.3232421875,11.896484375,8.91015625,10.6181640625,13.6220703125,9.00390625,13.123046875,12.5947265625,9.443359375,12.9638671875,28.357671193833443,14.178835596916722,15.010732331321194,Topology_A
powerMoesBulb2.pcapng,107.54296875,2023-10-15 16:36:50.000000,2023-10-15 16:42:07.792065,317.7920649051666,21.08203125,24.46875,17.203125,22.849609375,29.68359375,17.892578125,26.697265625,26.6650390625,18.5625,27.0283203125,75.86847515004628,37.93423757502314,42.14594360127291,Topology_A
powerPhilipsLamp1-1.pcapng,30.4609375,2023-10-15 17:44:16.000000,2023-10-15 17:49:24.368040,308.36804008483887,8.1513671875,9.181640625,6.96484375,8.3564453125,10.9033203125,7.0478515625,10.5244140625,9.93359375,7.439453125,10.283203125,21.380190484253784,10.690095242126892,10.683043301043927,Topology_A
powerSmartPowerPlug3.pcapng,42.21875,2023-10-15 18:20:01.000000,2023-10-15 18:25:17.437849,316.4378490447998,10.6201171875,12.05078125,9.0546875,10.8310546875,14.283203125,9.1943359375,13.669921875,12.8515625,9.6796875,13.388671875,29.688399988967618,14.844199994483809,15.715250267718195,Topology_A
powerSmartSocket2.pcapng,60.2578125,2023-10-15 15:37:52.000000,2023-10-15 15:43:06.728076,314.72807598114014,16.4814453125,18.234375,14.0234375,16.607421875,21.81640625,14.267578125,21.1259765625,20.1123046875,14.978515625,20.8779296875,42.6306378563585,21.31531892817925,24.311743584432453,Topology_A
powerLedvanceBulb2.pcapng,35.5390625,2023-10-15 15:56:05.000000,2023-10-15 16:01:08.984297,303.98429703712463,10.375,11.279296875,8.90625,10.439453125,13.7373046875,8.9599609375,13.4912109375,12.8193359375,9.3671875,13.1748046875,25.01506068423674,12.50753034211837,12.807002038869964,Topology_A
powerLedvanceSmart+Plug3.pcapng,23.75,2023-10-15 17:38:08.000000,2023-10-15 17:43:10.186801,302.1868009567261,5.7744140625,6.8193359375,4.97265625,6.080078125,7.8193359375,5.037109375,7.4736328125,7.080078125,5.263671875,7.3359375,16.701755505510118,8.350877752755059,7.7393313973600595,Topology_A
powerSmartPowerPlug5.pcapng,31.16015625,2023-10-15 18:31:13.000000,2023-10-15 18:36:27.965129,314.9651288986206,9.529296875,10.490234375,8.35546875,9.5361328125,12.5400390625,8.423828125,12.2197265625,11.57421875,8.83203125,11.9482421875,21.91366053837086,10.95683026918543,11.439430843502189,Topology_A
powerPhilipsLamp1-3.pcapng,20.33984375,2023-10-15 17:55:29.000000,2023-10-15 18:00:26.191895,297.1918950080872,4.615234375,5.51953125,3.94140625,4.9130859375,6.287109375,3.9736328125,5.923828125,5.5859375,4.158203125,5.79296875,14.104136644793437,7.052068322396718,6.432861900783982,Topology_A
powerLedvanceSmart+Plug1.pcapng,37.55078125,2023-10-15 17:25:27.000000,2023-10-15 17:30:39.584666,312.58466601371765,10.0947265625,11.1337890625,8.65234375,10.3681640625,13.353515625,8.708984375,12.8310546875,12.4228515625,9.056640625,12.77734375,26.75122316696813,13.375611583484067,13.24334706256274,Topology_A
powerSmartPowerPlug4.pcapng,54.00390625,2023-10-15 18:25:37.000000,2023-10-15 18:30:57.998783,320.99878311157227,15.861328125,17.0341796875,13.44140625,15.701171875,21.01953125,13.7177734375,20.39453125,19.2607421875,14.3515625,19.9931640625,37.1708482636988,18.5854241318494,21.32061308874066,Topology_A
powerLedvancePlug2.pcapng,43.48046875,2023-10-15 16:18:13.000000,2023-10-15 16:23:24.449900,311.4498999118805,11.5205078125,13.0830078125,9.8828125,11.8310546875,15.2822265625,9.984375,14.7705078125,14.1630859375,10.4970703125,14.572265625,31.22245033258538,15.61122516629269,16.475105385502527,Topology_A
powerPhilipsLamp3-3.pcapng,28.453125,2023-10-15 19:20:55.000000,2023-10-15 19:26:09.090217,314.0902171134949,8.7294921875,9.57421875,7.5390625,8.70703125,11.38671875,7.6708984375,11.2392578125,10.677734375,8.0390625,11.0537109375,20.07312200367224,10.036561001836118,10.21682977931902,Topology_A
powerLedvanceBulb1.pcapng,44.65234375,2023-10-15 15:50:21.000000,2023-10-15 15:55:28.065999,307.0659990310669,12.30859375,13.5966796875,10.51171875,12.37890625,16.259765625,10.62890625,15.673828125,15.1962890625,11.2314453125,15.4521484375,32.06137938102671,16.030689690513356,16.75152776495441,Topology_A
powerSmartPowerPlug6.pcapng,45.8984375,2023-10-15 18:36:47.000000,2023-10-15 18:41:58.038234,311.0382339954376,11.8642578125,13.3837890625,10.08203125,12.1123046875,15.7529296875,10.3056640625,15.0205078125,14.5048828125,10.71875,14.8798828125,32.13802261917237,16.069011309586184,17.435405167566557,Topology_A
powerSmartPowerPlug2.pcapng,43.328125,2023-10-15 18:14:09.000000,2023-10-15 18:19:26.121116,317.12111592292786,11.0712890625,12.6455078125,9.453125,11.310546875,14.7958984375,9.6123046875,14.1962890625,13.3154296875,10.0615234375,13.8486328125,30.58238685141563,15.291193425707815,16.47598031378557,Topology_A
powerSmartSocket3.pcapng,46.48046875,2023-10-15 15:44:22.000000,2023-10-15 15:49:27.278599,305.27859902381897,13.7783203125,14.9619140625,11.765625,13.779296875,17.919921875,11.888671875,17.4052734375,16.701171875,12.423828125,17.1357421875,33.02757314738471,16.513786573692354,18.090819291372867,Topology_A
powerLedvanceBulb3.pcapng,41.203125,2023-10-15 16:02:12.000000,2023-10-15 16:07:08.417838,296.41783809661865,11.814453125,12.90234375,10.12109375,11.7880859375,15.5634765625,10.2392578125,15.060546875,14.5478515625,10.7802734375,14.900390625,29.134408126536528,14.567204063268264,15.54539382664028,Topology_A
powerPhilipsLamp3-2.pcapng,32.59765625,2023-10-15 19:14:45.000000,2023-10-15 19:20:03.897430,318.8974299430847,9.6337890625,10.650390625,8.30078125,9.7890625,12.7392578125,8.4189453125,12.4716796875,11.7607421875,8.8623046875,12.17578125,22.79336867111127,11.396684335555635,11.773584137866315,Topology_A
powerPhilipsLamp3-1.pcapng,40.453125,2023-10-15 19:09:05.000000,2023-10-15 19:14:13.164871,308.16487097740173,10.4462890625,11.978515625,8.9375,10.77734375,14.14453125,9.1103515625,13.58203125,12.8125,9.5283203125,13.2470703125,28.60332005708611,14.301660028543054,15.053204675709647,Topology_A
powerLedvancePlug3.pcapng,31.265625,2023-10-15 16:23:59.000000,2023-10-15 16:29:05.967346,306.96734595298767,9.4208984375,10.251953125,8.08203125,9.4599609375,12.3466796875,8.177734375,12.0869140625,11.650390625,8.51171875,11.9599609375,21.985915263742147,10.992957631871072,11.105361799409357,Topology_A
powerPhilipsLamp2-3.pcapng,33.4609375,2023-10-15 19:03:25.000000,2023-10-15 19:08:29.145185,304.1451849937439,9.3330078125,10.447265625,7.98046875,9.5087890625,12.353515625,8.12890625,11.9365234375,11.40234375,8.5146484375,11.8056640625,23.736337121311188,11.868168560655594,12.23574601652135,Topology_A
